Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Rape,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-03-03,4.0,8.0,49.0,4.0,7.0,6.0,1.0,12.0,6.0,11.0,15.0,,1.0,13.0,2.0,5.0,15.0,13.0,18.0,1.0
2006-03-04,9.0,6.0,41.0,1.0,6.0,11.0,6.0,8.0,6.0,14.0,20.0,2.0,,11.0,5.0,8.0,19.0,23.0,33.0,3.0
2006-03-05,3.0,4.0,120.0,1.0,7.0,9.0,8.0,2.0,13.0,19.0,22.0,,1.0,7.0,2.0,7.0,22.0,11.0,21.0,3.0
2006-03-06,7.0,8.0,48.0,3.0,9.0,1.0,3.0,8.0,10.0,19.0,26.0,1.0,2.0,13.0,5.0,6.0,20.0,19.0,27.0,4.0
2006-03-07,3.0,9.0,53.0,1.0,11.0,1.0,4.0,9.0,10.0,26.0,26.0,,1.0,15.0,4.0,3.0,19.0,18.0,23.0,7.0
2006-03-08,4.0,8.0,54.0,2.0,13.0,4.0,3.0,15.0,9.0,22.0,32.0,1.0,1.0,12.0,3.0,7.0,21.0,16.0,20.0,7.0
2006-03-09,2.0,10.0,43.0,5.0,7.0,4.0,5.0,5.0,5.0,22.0,33.0,,1.0,8.0,4.0,7.0,13.0,16.0,17.0,4.0
2006-03-10,7.0,18.0,35.0,2.0,7.0,3.0,3.0,10.0,2.0,14.0,36.0,6.0,,12.0,3.0,6.0,21.0,16.0,23.0,
2006-03-11,2.0,9.0,109.0,,6.0,7.0,5.0,7.0,6.0,15.0,30.0,1.0,,5.0,4.0,3.0,22.0,23.0,24.0,5.0
2006-03-12,1.0,10.0,95.0,3.0,6.0,7.0,3.0,3.0,5.0,19.0,24.0,1.0,1.0,7.0,2.0,4.0,14.0,18.0,33.0,3.0
2006-03-13,2.0,7.0,45.0,6.0,11.0,6.0,3.0,19.0,7.0,8.0,35.0,2.0,2.0,17.0,6.0,8.0,24.0,24.0,30.0,7.0
2006-03-14,1.0,5.0,38.0,3.0,11.0,6.0,1.0,8.0,4.0,21.0,44.0,1.0,1.0,10.0,6.0,5.0,14.0,20.0,28.0,6.0
2006-03-15,4.0,9.0,22.0,1.0,8.0,2.0,4.0,15.0,5.0,15.0,39.0,3.0,,7.0,2.0,3.0,9.0,20.0,23.0,4.0
2006-03-16,7.0,7.0,39.0,1.0,5.0,7.0,4.0,22.0,12.0,18.0,24.0,3.0,3.0,9.0,6.0,4.0,17.0,20.0,18.0,3.0
2006-03-17,3.0,9.0,30.0,,13.0,5.0,2.0,13.0,10.0,16.0,17.0,1.0,1.0,13.0,5.0,10.0,17.0,22.0,22.0,3.0
2006-03-18,5.0,9.0,51.0,5.0,14.0,14.0,3.0,5.0,8.0,18.0,24.0,1.0,,10.0,4.0,7.0,16.0,24.0,41.0,8.0
2006-03-19,1.0,9.0,54.0,1.0,10.0,9.0,3.0,3.0,7.0,15.0,22.0,,1.0,4.0,4.0,5.0,20.0,20.0,35.0,3.0
2006-03-20,4.0,4.0,35.0,3.0,14.0,6.0,2.0,8.0,5.0,15.0,32.0,5.0,2.0,12.0,2.0,4.0,20.0,20.0,31.0,1.0
2006-03-21,4.0,8.0,48.0,2.0,16.0,,10.0,27.0,8.0,10.0,33.0,1.0,,5.0,7.0,6.0,24.0,30.0,37.0,5.0
2006-03-22,4.0,5.0,43.0,3.0,11.0,4.0,5.0,18.0,6.0,15.0,26.0,1.0,1.0,5.0,4.0,4.0,18.0,18.0,33.0,4.0
2006-03-23,7.0,9.0,32.0,3.0,12.0,3.0,6.0,6.0,2.0,11.0,41.0,3.0,,10.0,3.0,5.0,26.0,36.0,36.0,5.0
2006-03-24,3.0,7.0,48.0,3.0,7.0,5.0,4.0,6.0,10.0,16.0,33.0,1.0,,12.0,3.0,9.0,13.0,25.0,26.0,2.0
2006-03-25,8.0,10.0,51.0,4.0,8.0,11.0,5.0,9.0,12.0,11.0,24.0,1.0,,9.0,9.0,9.0,19.0,16.0,25.0,1.0
2006-03-26,6.0,13.0,42.0,5.0,7.0,10.0,,2.0,7.0,20.0,18.0,1.0,3.0,8.0,8.0,4.0,19.0,13.0,36.0,2.0
2006-03-27,3.0,10.0,33.0,6.0,18.0,1.0,3.0,15.0,14.0,16.0,43.0,1.0,2.0,11.0,2.0,9.0,18.0,34.0,29.0,2.0
2006-03-28,5.0,2.0,44.0,7.0,11.0,5.0,5.0,14.0,8.0,21.0,29.0,1.0,,15.0,10.0,6.0,16.0,19.0,23.0,6.0
2006-03-29,8.0,19.0,49.0,1.0,7.0,2.0,6.0,9.0,7.0,20.0,40.0,5.0,2.0,9.0,3.0,5.0,20.0,23.0,28.0,2.0
2006-03-30,3.0,14.0,47.0,2.0,9.0,2.0,5.0,5.0,7.0,20.0,39.0,2.0,1.0,9.0,3.0,8.0,22.0,27.0,23.0,3.0
2006-03-31,5.0,18.0,41.0,2.0,7.0,7.0,5.0,10.0,4.0,18.0,38.0,,1.0,8.0,7.0,9.0,15.0,11.0,31.0,3.0
2006-04-01,5.0,12.0,53.0,4.0,5.0,6.0,5.0,4.0,14.0,23.0,26.0,2.0,2.0,11.0,4.0,5.0,13.0,13.0,34.0,2.0
2006-04-02,3.0,3.0,55.0,1.0,8.0,9.0,5.0,2.0,7.0,12.0,23.0,1.0,1.0,10.0,1.0,2.0,20.0,13.0,21.0,
2006-04-03,2.0,7.0,44.0,3.0,12.0,11.0,1.0,12.0,7.0,19.0,37.0,1.0,2.0,18.0,4.0,7.0,8.0,20.0,23.0,2.0
2006-04-04,2.0,6.0,51.0,2.0,9.0,2.0,2.0,14.0,11.0,18.0,23.0,3.0,,16.0,7.0,8.0,23.0,26.0,22.0,7.0
