Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-02-17,9.0,12.0,51.0,11.0,13.0,15.0,9.0,24.0,17.0,43.0,59.0,8.0,4.0,17.0,14.0,16.0,23.0,27.0,51.0,5.0
2006-02-18,7.0,17.0,63.0,4.0,13.0,22.0,5.0,16.0,25.0,37.0,57.0,,,22.0,11.0,9.0,29.0,37.0,48.0,5.0
2006-02-19,7.0,24.0,120.0,5.0,9.0,15.0,8.0,8.0,14.0,29.0,37.0,3.0,,19.0,7.0,7.0,19.0,23.0,50.0,3.0
2006-02-20,7.0,19.0,188.0,11.0,13.0,20.0,4.0,22.0,13.0,44.0,43.0,4.0,,26.0,7.0,8.0,32.0,36.0,60.0,7.0
2006-02-21,1.0,10.0,89.0,4.0,16.0,4.0,11.0,23.0,24.0,34.0,75.0,4.0,4.0,19.0,7.0,19.0,22.0,25.0,50.0,7.0
2006-02-22,4.0,13.0,93.0,6.0,15.0,8.0,7.0,25.0,8.0,44.0,50.0,2.0,5.0,22.0,7.0,13.0,33.0,38.0,46.0,8.0
2006-02-23,5.0,14.0,80.0,7.0,20.0,9.0,7.0,27.0,12.0,42.0,61.0,,6.0,23.0,14.0,6.0,25.0,38.0,36.0,7.0
2006-02-24,2.0,12.0,50.0,4.0,20.0,12.0,15.0,23.0,17.0,40.0,60.0,5.0,4.0,21.0,8.0,11.0,35.0,37.0,39.0,7.0
2006-02-25,11.0,15.0,84.0,5.0,17.0,15.0,10.0,18.0,16.0,29.0,55.0,2.0,5.0,12.0,11.0,9.0,37.0,25.0,47.0,4.0
2006-02-26,5.0,11.0,86.0,3.0,11.0,16.0,7.0,8.0,11.0,28.0,46.0,2.0,,19.0,4.0,5.0,21.0,27.0,42.0,
