Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-03-06,6.0,5.0,23.0,2.0,2.0,1.0,4.0,6.0,1.0,6.0,19.0,,5.0,3.0,3.0,7.0,12.0,,8.0,2.0
2006-03-07,,3.0,35.0,2.0,8.0,,1.0,5.0,5.0,6.0,10.0,,4.0,2.0,1.0,8.0,14.0,,14.0,2.0
2006-03-08,1.0,2.0,33.0,1.0,5.0,1.0,2.0,5.0,4.0,9.0,11.0,,4.0,,4.0,10.0,18.0,1.0,17.0,3.0
2006-03-09,,5.0,27.0,1.0,6.0,5.0,3.0,3.0,2.0,12.0,11.0,,3.0,3.0,3.0,9.0,14.0,,17.0,2.0
2006-03-10,4.0,6.0,19.0,3.0,3.0,2.0,5.0,3.0,1.0,8.0,24.0,,4.0,,4.0,13.0,18.0,,13.0,
2006-03-11,,3.0,66.0,1.0,4.0,7.0,3.0,3.0,5.0,7.0,13.0,1.0,1.0,1.0,1.0,14.0,11.0,1.0,18.0,4.0
2006-03-12,1.0,6.0,69.0,2.0,3.0,3.0,4.0,2.0,5.0,7.0,11.0,,2.0,1.0,5.0,9.0,19.0,,26.0,1.0
2006-03-13,2.0,3.0,38.0,3.0,6.0,4.0,,9.0,4.0,6.0,18.0,2.0,3.0,1.0,2.0,12.0,15.0,,21.0,3.0
2006-03-14,1.0,5.0,26.0,3.0,3.0,2.0,1.0,5.0,3.0,8.0,16.0,,6.0,2.0,3.0,8.0,21.0,1.0,19.0,1.0
2006-03-15,2.0,7.0,11.0,1.0,4.0,2.0,1.0,8.0,1.0,3.0,19.0,2.0,4.0,1.0,3.0,12.0,11.0,,17.0,1.0
2006-03-16,3.0,2.0,31.0,,2.0,4.0,2.0,10.0,4.0,3.0,16.0,2.0,4.0,2.0,5.0,15.0,9.0,1.0,19.0,1.0
2006-03-17,2.0,1.0,27.0,1.0,1.0,2.0,1.0,12.0,6.0,4.0,8.0,3.0,7.0,4.0,7.0,14.0,21.0,,18.0,
2006-03-18,2.0,4.0,19.0,4.0,5.0,15.0,4.0,4.0,4.0,7.0,12.0,1.0,7.0,3.0,4.0,10.0,19.0,2.0,23.0,2.0
2006-03-19,,1.0,27.0,2.0,5.0,5.0,4.0,,5.0,6.0,6.0,,1.0,3.0,3.0,7.0,19.0,,19.0,1.0
2006-03-20,1.0,1.0,17.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,16.0,3.0,6.0,2.0,5.0,13.0,14.0,,15.0,
2006-03-21,,2.0,34.0,1.0,6.0,1.0,3.0,8.0,4.0,3.0,16.0,1.0,3.0,4.0,2.0,10.0,22.0,1.0,17.0,2.0
2006-03-22,3.0,2.0,25.0,,4.0,5.0,,7.0,1.0,8.0,13.0,1.0,1.0,4.0,2.0,16.0,20.0,2.0,17.0,
2006-03-23,6.0,7.0,22.0,2.0,6.0,,4.0,3.0,1.0,4.0,27.0,,3.0,1.0,6.0,17.0,20.0,1.0,15.0,3.0
2006-03-24,1.0,4.0,19.0,1.0,5.0,3.0,3.0,7.0,3.0,3.0,18.0,1.0,4.0,1.0,5.0,8.0,13.0,1.0,10.0,1.0
2006-03-25,6.0,5.0,19.0,1.0,5.0,11.0,2.0,4.0,8.0,2.0,16.0,1.0,5.0,4.0,5.0,6.0,11.0,,21.0,1.0
2006-03-26,5.0,5.0,24.0,4.0,7.0,10.0,2.0,4.0,2.0,5.0,13.0,,3.0,6.0,4.0,13.0,6.0,,20.0,1.0
2006-03-27,1.0,8.0,18.0,3.0,11.0,,,9.0,9.0,6.0,24.0,,2.0,1.0,5.0,7.0,23.0,,9.0,
2006-03-28,1.0,2.0,30.0,1.0,6.0,2.0,4.0,8.0,4.0,13.0,17.0,1.0,7.0,3.0,5.0,12.0,16.0,1.0,13.0,2.0
2006-03-29,3.0,7.0,33.0,2.0,3.0,1.0,1.0,5.0,6.0,11.0,14.0,1.0,1.0,1.0,3.0,13.0,17.0,1.0,17.0,
2006-03-30,1.0,11.0,26.0,,2.0,4.0,3.0,3.0,,11.0,17.0,,8.0,2.0,2.0,15.0,21.0,1.0,14.0,2.0
